,num_chunks,times,drop_num_used
0,4500,0,5356
1,4500,1,5440
2,4500,2,5246
3,4500,3,5361
4,4500,4,5105
5,4500,5,5356
6,4500,6,5275
7,4500,7,5284
8,4500,8,5316
9,4500,9,5201
10,4500,10,5199
11,4500,11,5349
12,4500,12,5544
13,4500,13,5304
14,4500,14,5233
15,4500,15,5195
16,4500,16,5165
17,4500,17,5238
18,4500,18,5282
19,4500,19,5471
20,4500,20,5320
21,4500,21,5493
22,4500,22,5601
23,4500,23,5455
24,4500,24,5091
25,4500,25,5149
26,4500,26,5245
27,4500,27,5415
28,4500,28,5140
29,4500,29,5125
30,4500,30,5475
31,4500,31,5379
32,4500,32,5415
33,4500,33,5713
34,4500,34,5362
35,4500,35,5402
36,4500,36,5580
37,4500,37,5243
38,4500,38,5343
39,4500,39,5244
40,4500,40,5245
41,4500,41,5504
42,4500,42,5464
43,4500,43,5355
44,4500,44,5305
45,4500,45,5715
46,4500,46,5123
47,4500,47,5357
48,4500,48,5282
49,4500,49,5169
50,4500,50,5137
51,4500,51,5428
52,4500,52,5517
53,4500,53,5259
54,4500,54,5363
55,4500,55,5380
56,4500,56,5389
57,4500,57,5613
58,4500,58,5381
59,4500,59,5330
60,4500,60,5384
61,4500,61,5216
62,4500,62,5473
63,4500,63,5388
64,4500,64,5242
65,4500,65,5214
66,4500,66,5307
67,4500,67,5063
68,4500,68,5107
69,4500,69,5244
70,4500,70,5410
71,4500,71,5280
72,4500,72,5251
73,4500,73,5642
74,4500,74,5176
75,4500,75,5326
76,4500,76,5184
77,4500,77,5384
78,4500,78,5307
79,4500,79,5320
80,4500,80,5150
81,4500,81,5199
82,4500,82,5264
83,4500,83,5442
84,4500,84,5511
85,4500,85,5379
86,4500,86,5443
87,4500,87,5311
88,4500,88,5228
89,4500,89,5072
90,4500,90,5388
91,4500,91,5645
92,4500,92,5311
93,4500,93,5285
94,4500,94,5095
95,4500,95,5319
96,4500,96,5407
97,4500,97,5677
98,4500,98,5328
99,4500,99,5907
