,num_chunks,times,drop_num_used
0,500,0,778
1,500,1,673
2,500,2,668
3,500,3,595
4,500,4,628
5,500,5,681
6,500,6,645
7,500,7,627
8,500,8,653
9,500,9,634
10,500,10,638
11,500,11,639
12,500,12,608
13,500,13,645
14,500,14,716
15,500,15,638
16,500,16,652
17,500,17,616
18,500,18,655
19,500,19,656
20,500,20,672
21,500,21,720
22,500,22,652
23,500,23,609
24,500,24,642
25,500,25,727
26,500,26,675
27,500,27,654
28,500,28,606
29,500,29,742
30,500,30,635
31,500,31,634
32,500,32,666
33,500,33,710
34,500,34,643
35,500,35,667
36,500,36,650
37,500,37,673
38,500,38,636
39,500,39,638
40,500,40,650
41,500,41,653
42,500,42,713
43,500,43,672
44,500,44,643
45,500,45,616
46,500,46,622
47,500,47,615
48,500,48,607
49,500,49,645
50,500,50,823
51,500,51,645
52,500,52,669
53,500,53,641
54,500,54,695
55,500,55,629
56,500,56,679
57,500,57,662
58,500,58,633
59,500,59,605
60,500,60,609
61,500,61,624
62,500,62,594
63,500,63,598
64,500,64,639
65,500,65,677
66,500,66,767
67,500,67,697
68,500,68,614
69,500,69,613
70,500,70,617
71,500,71,623
72,500,72,596
73,500,73,635
74,500,74,616
75,500,75,648
76,500,76,630
77,500,77,713
78,500,78,616
79,500,79,661
80,500,80,695
81,500,81,632
82,500,82,616
83,500,83,649
84,500,84,610
85,500,85,633
86,500,86,636
87,500,87,647
88,500,88,710
89,500,89,638
90,500,90,630
91,500,91,618
92,500,92,646
93,500,93,629
94,500,94,707
95,500,95,644
96,500,96,632
97,500,97,634
98,500,98,639
99,500,99,616
