,num_chunks,times,drop_num_used
0,2500,0,2673
1,2500,1,2668
2,2500,2,2702
3,2500,3,2714
4,2500,4,2699
5,2500,5,2662
6,2500,6,2686
7,2500,7,2674
8,2500,8,2668
9,2500,9,2694
10,2500,10,2677
11,2500,11,2655
12,2500,12,2656
13,2500,13,2673
14,2500,14,2681
15,2500,15,2681
16,2500,16,2690
17,2500,17,2656
18,2500,18,2664
19,2500,19,2681
20,2500,20,2694
21,2500,21,2681
22,2500,22,2681
23,2500,23,2680
24,2500,24,2693
25,2500,25,2676
26,2500,26,2671
27,2500,27,2671
28,2500,28,2679
29,2500,29,2678
30,2500,30,2679
31,2500,31,2665
32,2500,32,2681
33,2500,33,2663
34,2500,34,2671
35,2500,35,2691
36,2500,36,2698
37,2500,37,2699
38,2500,38,2648
39,2500,39,2701
40,2500,40,2681
41,2500,41,2696
42,2500,42,2665
43,2500,43,2702
44,2500,44,2696
45,2500,45,2684
46,2500,46,2686
47,2500,47,2696
48,2500,48,2666
49,2500,49,2678
50,2500,50,2677
51,2500,51,2682
52,2500,52,2674
53,2500,53,2703
54,2500,54,2675
55,2500,55,2671
56,2500,56,2685
57,2500,57,2679
58,2500,58,2654
59,2500,59,2669
60,2500,60,2694
61,2500,61,2648
62,2500,62,2676
63,2500,63,2666
64,2500,64,2653
65,2500,65,2691
66,2500,66,2649
67,2500,67,2673
68,2500,68,2683
69,2500,69,2668
70,2500,70,2676
71,2500,71,2678
72,2500,72,2676
73,2500,73,2676
74,2500,74,2708
75,2500,75,2653
76,2500,76,2685
77,2500,77,2685
78,2500,78,2684
79,2500,79,2644
80,2500,80,2672
81,2500,81,2661
82,2500,82,2662
83,2500,83,2680
84,2500,84,2682
85,2500,85,2679
86,2500,86,2684
87,2500,87,2661
88,2500,88,2657
89,2500,89,2684
90,2500,90,2672
91,2500,91,2643
92,2500,92,2695
93,2500,93,2653
94,2500,94,2691
95,2500,95,2672
96,2500,96,2671
97,2500,97,2656
98,2500,98,2668
99,2500,99,2684
