,num_chunks,times,drop_num_used
0,400,0,479
1,400,1,445
2,400,2,454
3,400,3,461
4,400,4,458
5,400,5,454
6,400,6,459
7,400,7,444
8,400,8,452
9,400,9,451
10,400,10,460
11,400,11,460
12,400,12,452
13,400,13,461
14,400,14,451
15,400,15,452
16,400,16,462
17,400,17,461
18,400,18,449
19,400,19,464
20,400,20,452
21,400,21,449
22,400,22,455
23,400,23,456
24,400,24,456
25,400,25,453
26,400,26,452
27,400,27,458
28,400,28,461
29,400,29,451
30,400,30,463
31,400,31,455
32,400,32,451
33,400,33,453
34,400,34,449
35,400,35,461
36,400,36,455
37,400,37,461
38,400,38,455
39,400,39,465
40,400,40,460
41,400,41,451
42,400,42,459
43,400,43,449
44,400,44,463
45,400,45,449
46,400,46,454
47,400,47,465
48,400,48,458
49,400,49,452
50,400,50,452
51,400,51,459
52,400,52,453
53,400,53,463
54,400,54,454
55,400,55,451
56,400,56,451
57,400,57,457
58,400,58,471
59,400,59,447
60,400,60,457
61,400,61,459
62,400,62,460
63,400,63,462
64,400,64,457
65,400,65,461
66,400,66,455
67,400,67,448
68,400,68,451
69,400,69,442
70,400,70,451
71,400,71,464
72,400,72,455
73,400,73,465
74,400,74,455
75,400,75,446
76,400,76,452
77,400,77,461
78,400,78,458
79,400,79,460
80,400,80,451
81,400,81,455
82,400,82,453
83,400,83,451
84,400,84,461
85,400,85,450
86,400,86,446
87,400,87,454
88,400,88,467
89,400,89,457
90,400,90,441
91,400,91,461
92,400,92,454
93,400,93,443
94,400,94,454
95,400,95,454
96,400,96,461
97,400,97,465
98,400,98,455
99,400,99,456
