,num_chunks,times,drop_num_used
0,500,0,634
1,500,1,641
2,500,2,631
3,500,3,606
4,500,4,650
5,500,5,628
6,500,6,608
7,500,7,607
8,500,8,639
9,500,9,650
10,500,10,615
11,500,11,586
12,500,12,715
13,500,13,608
14,500,14,619
15,500,15,628
16,500,16,651
17,500,17,649
18,500,18,630
19,500,19,633
20,500,20,590
21,500,21,638
22,500,22,647
23,500,23,623
24,500,24,595
25,500,25,611
26,500,26,654
27,500,27,602
28,500,28,597
29,500,29,619
30,500,30,598
31,500,31,610
32,500,32,631
33,500,33,596
34,500,34,625
35,500,35,602
36,500,36,693
37,500,37,610
38,500,38,584
39,500,39,661
40,500,40,642
41,500,41,613
42,500,42,630
43,500,43,646
44,500,44,613
45,500,45,663
46,500,46,602
47,500,47,624
48,500,48,784
49,500,49,614
50,500,50,597
51,500,51,644
52,500,52,637
53,500,53,601
54,500,54,707
55,500,55,602
56,500,56,596
57,500,57,686
58,500,58,625
59,500,59,604
60,500,60,633
61,500,61,643
62,500,62,611
63,500,63,570
64,500,64,704
65,500,65,655
66,500,66,635
67,500,67,651
68,500,68,686
69,500,69,611
70,500,70,591
71,500,71,617
72,500,72,588
73,500,73,633
74,500,74,609
75,500,75,603
76,500,76,608
77,500,77,704
78,500,78,628
79,500,79,611
80,500,80,677
81,500,81,603
82,500,82,621
83,500,83,616
84,500,84,614
85,500,85,643
86,500,86,591
87,500,87,618
88,500,88,593
89,500,89,604
90,500,90,604
91,500,91,629
92,500,92,611
93,500,93,695
94,500,94,656
95,500,95,603
96,500,96,615
97,500,97,618
98,500,98,592
99,500,99,614
