,num_chunks,times,drop_num_used
0,100,0,213
1,100,1,183
2,100,2,185
3,100,3,190
4,100,4,199
5,100,5,168
6,100,6,196
7,100,7,187
8,100,8,151
9,100,9,177
10,100,10,212
11,100,11,182
12,100,12,170
13,100,13,172
14,100,14,162
15,100,15,241
16,100,16,201
17,100,17,176
18,100,18,199
19,100,19,200
20,100,20,174
21,100,21,181
22,100,22,201
23,100,23,189
24,100,24,222
25,100,25,173
26,100,26,171
27,100,27,181
28,100,28,211
29,100,29,205
30,100,30,199
31,100,31,193
32,100,32,175
33,100,33,188
34,100,34,187
35,100,35,197
36,100,36,172
37,100,37,184
38,100,38,195
39,100,39,205
40,100,40,180
41,100,41,179
42,100,42,209
43,100,43,172
44,100,44,189
45,100,45,242
46,100,46,190
47,100,47,172
48,100,48,195
49,100,49,171
50,100,50,227
51,100,51,203
52,100,52,162
53,100,53,184
54,100,54,177
55,100,55,202
56,100,56,192
57,100,57,186
58,100,58,215
59,100,59,176
60,100,60,173
61,100,61,186
62,100,62,182
63,100,63,167
64,100,64,160
65,100,65,207
66,100,66,158
67,100,67,218
68,100,68,197
69,100,69,181
70,100,70,178
71,100,71,184
72,100,72,187
73,100,73,203
74,100,74,180
75,100,75,201
76,100,76,179
77,100,77,181
78,100,78,186
79,100,79,215
80,100,80,195
81,100,81,218
82,100,82,195
83,100,83,175
84,100,84,185
85,100,85,188
86,100,86,158
87,100,87,185
88,100,88,203
89,100,89,186
90,100,90,165
91,100,91,226
92,100,92,184
93,100,93,188
94,100,94,213
95,100,95,183
96,100,96,163
97,100,97,189
98,100,98,165
99,100,99,177
