,num_chunks,times,drop_num_used
0,3000,0,5903
1,3000,1,6092
2,3000,2,5876
3,3000,3,5880
4,3000,4,6147
5,3000,5,5888
6,3000,6,5899
7,3000,7,5944
8,3000,8,6075
9,3000,9,5877
10,3000,10,5910
11,3000,11,5781
12,3000,12,5958
13,3000,13,5865
14,3000,14,5747
15,3000,15,5739
16,3000,16,5986
17,3000,17,5836
18,3000,18,5804
19,3000,19,5826
20,3000,20,5801
21,3000,21,5928
22,3000,22,6015
23,3000,23,5938
24,3000,24,5835
25,3000,25,5852
26,3000,26,5818
27,3000,27,5749
28,3000,28,5858
29,3000,29,5832
30,3000,30,5681
31,3000,31,5809
32,3000,32,5974
33,3000,33,5927
34,3000,34,5775
35,3000,35,5983
36,3000,36,5900
37,3000,37,5803
38,3000,38,5838
39,3000,39,6025
40,3000,40,5976
41,3000,41,5865
42,3000,42,5747
43,3000,43,5710
44,3000,44,5993
45,3000,45,5763
46,3000,46,6109
47,3000,47,5807
48,3000,48,5728
49,3000,49,5802
50,3000,50,5988
51,3000,51,5663
52,3000,52,5930
53,3000,53,5842
54,3000,54,5676
55,3000,55,5959
56,3000,56,5966
57,3000,57,5793
58,3000,58,5899
59,3000,59,5937
60,3000,60,5927
61,3000,61,5829
62,3000,62,5841
63,3000,63,5685
64,3000,64,5775
65,3000,65,5985
66,3000,66,5844
67,3000,67,5899
68,3000,68,5927
69,3000,69,5956
70,3000,70,5993
71,3000,71,5835
72,3000,72,5784
73,3000,73,5933
74,3000,74,5796
75,3000,75,5778
76,3000,76,5962
77,3000,77,5705
78,3000,78,5733
79,3000,79,5857
80,3000,80,6135
81,3000,81,5741
82,3000,82,5705
83,3000,83,5670
84,3000,84,5870
85,3000,85,6004
86,3000,86,6215
87,3000,87,5814
88,3000,88,5923
89,3000,89,5738
90,3000,90,5760
91,3000,91,6072
92,3000,92,5770
93,3000,93,5911
94,3000,94,5674
95,3000,95,6016
96,3000,96,5825
97,3000,97,5938
98,3000,98,6106
99,3000,99,5799
