,num_chunks,times,drop_num_used
0,1000,0,1252
1,1000,1,1246
2,1000,2,1454
3,1000,3,1181
4,1000,4,1154
5,1000,5,1159
6,1000,6,1196
7,1000,7,1215
8,1000,8,1175
9,1000,9,1184
10,1000,10,1223
11,1000,11,1189
12,1000,12,1221
13,1000,13,1211
14,1000,14,1202
15,1000,15,1254
16,1000,16,1197
17,1000,17,1169
18,1000,18,1131
19,1000,19,1179
20,1000,20,1185
21,1000,21,1166
22,1000,22,1185
23,1000,23,1151
24,1000,24,1245
25,1000,25,1172
26,1000,26,1126
27,1000,27,1135
28,1000,28,1154
29,1000,29,1181
30,1000,30,1147
31,1000,31,1135
32,1000,32,1183
33,1000,33,1232
34,1000,34,1197
35,1000,35,1162
36,1000,36,1149
37,1000,37,1279
38,1000,38,1178
39,1000,39,1182
40,1000,40,1196
41,1000,41,1164
42,1000,42,1198
43,1000,43,1149
44,1000,44,1398
45,1000,45,1158
46,1000,46,1223
47,1000,47,1139
48,1000,48,1168
49,1000,49,1177
50,1000,50,1208
51,1000,51,1159
52,1000,52,1118
53,1000,53,1235
54,1000,54,1134
55,1000,55,1201
56,1000,56,1126
57,1000,57,1380
58,1000,58,1153
59,1000,59,1178
60,1000,60,1205
61,1000,61,1256
62,1000,62,1185
63,1000,63,1144
64,1000,64,1212
65,1000,65,1246
66,1000,66,1148
67,1000,67,1186
68,1000,68,1233
69,1000,69,1150
70,1000,70,1177
71,1000,71,1209
72,1000,72,1189
73,1000,73,1135
74,1000,74,1177
75,1000,75,1135
76,1000,76,1210
77,1000,77,1179
78,1000,78,1173
79,1000,79,1155
80,1000,80,1179
81,1000,81,1154
82,1000,82,1201
83,1000,83,1188
84,1000,84,1167
85,1000,85,1251
86,1000,86,1194
87,1000,87,1206
88,1000,88,1176
89,1000,89,1152
90,1000,90,1181
91,1000,91,1189
92,1000,92,1277
93,1000,93,1228
94,1000,94,1161
95,1000,95,1231
96,1000,96,1173
97,1000,97,1186
98,1000,98,1188
99,1000,99,1220
