,num_chunks,times,drop_num_used
0,5000,0,5602
1,5000,1,5525
2,5000,2,5499
3,5000,3,5510
4,5000,4,5496
5,5000,5,5404
6,5000,6,5511
7,5000,7,5417
8,5000,8,5407
9,5000,9,5480
10,5000,10,5510
11,5000,11,5436
12,5000,12,5435
13,5000,13,5405
14,5000,14,5486
15,5000,15,5657
16,5000,16,5422
17,5000,17,5459
18,5000,18,5627
19,5000,19,5390
20,5000,20,5397
21,5000,21,5423
22,5000,22,5457
23,5000,23,5541
24,5000,24,5506
25,5000,25,5438
26,5000,26,5459
27,5000,27,5464
28,5000,28,5436
29,5000,29,5644
30,5000,30,5506
31,5000,31,5398
32,5000,32,5465
33,5000,33,5622
34,5000,34,5468
35,5000,35,5406
36,5000,36,5623
37,5000,37,5472
38,5000,38,5515
39,5000,39,5427
40,5000,40,5405
41,5000,41,5398
42,5000,42,5692
43,5000,43,5486
44,5000,44,5554
45,5000,45,5823
46,5000,46,5433
47,5000,47,5467
48,5000,48,5432
49,5000,49,5472
50,5000,50,5495
51,5000,51,5422
52,5000,52,5509
53,5000,53,5539
54,5000,54,5407
55,5000,55,5606
56,5000,56,5379
57,5000,57,5466
58,5000,58,5382
59,5000,59,5577
60,5000,60,5417
61,5000,61,5426
62,5000,62,5538
63,5000,63,5388
64,5000,64,5431
65,5000,65,5524
66,5000,66,5468
67,5000,67,5447
68,5000,68,5651
69,5000,69,5510
70,5000,70,5494
71,5000,71,5710
72,5000,72,5500
73,5000,73,5604
74,5000,74,5417
75,5000,75,5590
76,5000,76,5468
77,5000,77,5532
78,5000,78,5578
79,5000,79,5404
80,5000,80,5639
81,5000,81,5604
82,5000,82,5421
83,5000,83,5391
84,5000,84,6026
85,5000,85,5619
86,5000,86,5550
87,5000,87,5438
88,5000,88,5360
89,5000,89,5546
90,5000,90,5593
91,5000,91,5408
92,5000,92,5572
93,5000,93,5406
94,5000,94,5565
95,5000,95,5597
96,5000,96,5497
97,5000,97,5399
98,5000,98,5352
99,5000,99,5528
