,num_chunks,times,drop_num_used
0,4500,0,4978
1,4500,1,5257
2,4500,2,5007
3,4500,3,4888
4,4500,4,4918
5,4500,5,5024
6,4500,6,5045
7,4500,7,4934
8,4500,8,4929
9,4500,9,4892
10,4500,10,5009
11,4500,11,5072
12,4500,12,4965
13,4500,13,4867
14,4500,14,5045
15,4500,15,4934
16,4500,16,5117
17,4500,17,5023
18,4500,18,4925
19,4500,19,4878
20,4500,20,5158
21,4500,21,4931
22,4500,22,5022
23,4500,23,4811
24,4500,24,4847
25,4500,25,4919
26,4500,26,5012
27,4500,27,5039
28,4500,28,4882
29,4500,29,4915
30,4500,30,5025
31,4500,31,4900
32,4500,32,5093
33,4500,33,4923
34,4500,34,4966
35,4500,35,4981
36,4500,36,4981
37,4500,37,4907
38,4500,38,4950
39,4500,39,4980
40,4500,40,4914
41,4500,41,4823
42,4500,42,5060
43,4500,43,4919
44,4500,44,4889
45,4500,45,4876
46,4500,46,4955
47,4500,47,5236
48,4500,48,4935
49,4500,49,4915
50,4500,50,5091
51,4500,51,5008
52,4500,52,4961
53,4500,53,4900
54,4500,54,4983
55,4500,55,4897
56,4500,56,4956
57,4500,57,5044
58,4500,58,5097
59,4500,59,4953
60,4500,60,4961
61,4500,61,4957
62,4500,62,5078
63,4500,63,4920
64,4500,64,4926
65,4500,65,5057
66,4500,66,4868
67,4500,67,4922
68,4500,68,4905
69,4500,69,5207
70,4500,70,4925
71,4500,71,5003
72,4500,72,4938
73,4500,73,4863
74,4500,74,4925
75,4500,75,4998
76,4500,76,5191
77,4500,77,5037
78,4500,78,4985
79,4500,79,4947
80,4500,80,4939
81,4500,81,4922
82,4500,82,4905
83,4500,83,5082
84,4500,84,4910
85,4500,85,4993
86,4500,86,5107
87,4500,87,5234
88,4500,88,4914
89,4500,89,4895
90,4500,90,5165
91,4500,91,4914
92,4500,92,5089
93,4500,93,5047
94,4500,94,5125
95,4500,95,5054
96,4500,96,4913
97,4500,97,5008
98,4500,98,4970
99,4500,99,5046
