,num_chunks,times,drop_num_used
0,150,0,207
1,150,1,174
2,150,2,186
3,150,3,228
4,150,4,214
5,150,5,177
6,150,6,237
7,150,7,203
8,150,8,209
9,150,9,212
10,150,10,206
11,150,11,197
12,150,12,234
13,150,13,215
14,150,14,200
15,150,15,193
16,150,16,251
17,150,17,210
18,150,18,234
19,150,19,193
20,150,20,210
21,150,21,202
22,150,22,192
23,150,23,193
24,150,24,236
25,150,25,198
26,150,26,187
27,150,27,204
28,150,28,237
29,150,29,212
30,150,30,203
31,150,31,235
32,150,32,219
33,150,33,212
34,150,34,180
35,150,35,246
36,150,36,187
37,150,37,195
38,150,38,219
39,150,39,216
40,150,40,188
41,150,41,192
42,150,42,201
43,150,43,204
44,150,44,237
45,150,45,189
46,150,46,184
47,150,47,194
48,150,48,187
49,150,49,217
50,150,50,253
51,150,51,208
52,150,52,212
53,150,53,208
54,150,54,205
55,150,55,214
56,150,56,216
57,150,57,225
58,150,58,291
59,150,59,192
60,150,60,196
61,150,61,202
62,150,62,208
63,150,63,196
64,150,64,222
65,150,65,226
66,150,66,195
67,150,67,225
68,150,68,183
69,150,69,204
70,150,70,223
71,150,71,212
72,150,72,209
73,150,73,208
74,150,74,214
75,150,75,246
76,150,76,182
77,150,77,261
78,150,78,197
79,150,79,194
80,150,80,201
81,150,81,203
82,150,82,230
83,150,83,234
84,150,84,223
85,150,85,253
86,150,86,190
87,150,87,209
88,150,88,216
89,150,89,194
90,150,90,232
91,150,91,201
92,150,92,242
93,150,93,238
94,150,94,181
95,150,95,224
96,150,96,213
97,150,97,207
98,150,98,186
99,150,99,188
