,num_chunks,times,drop_num_used
0,74,0,111
1,74,1,122
2,74,2,102
3,74,3,110
4,74,4,117
5,74,5,109
6,74,6,118
7,74,7,123
8,74,8,96
9,74,9,98
10,74,10,113
11,74,11,110
12,74,12,112
13,74,13,120
14,74,14,123
15,74,15,106
16,74,16,103
17,74,17,120
18,74,18,112
19,74,19,126
20,74,20,129
21,74,21,114
22,74,22,110
23,74,23,97
24,74,24,119
25,74,25,105
26,74,26,117
27,74,27,107
28,74,28,124
29,74,29,128
30,74,30,100
31,74,31,118
32,74,32,109
33,74,33,91
34,74,34,98
35,74,35,116
36,74,36,98
37,74,37,109
38,74,38,100
39,74,39,112
40,74,40,109
41,74,41,112
42,74,42,113
43,74,43,100
44,74,44,125
45,74,45,108
46,74,46,105
47,74,47,100
48,74,48,110
49,74,49,139
50,74,50,102
51,74,51,133
52,74,52,122
53,74,53,101
54,74,54,102
55,74,55,98
56,74,56,112
57,74,57,111
58,74,58,119
59,74,59,100
60,74,60,122
61,74,61,113
62,74,62,106
63,74,63,128
64,74,64,111
65,74,65,100
66,74,66,110
67,74,67,144
68,74,68,113
69,74,69,95
70,74,70,109
71,74,71,110
72,74,72,109
73,74,73,100
74,74,74,109
75,74,75,108
76,74,76,102
77,74,77,108
78,74,78,124
79,74,79,105
80,74,80,106
81,74,81,113
82,74,82,103
83,74,83,101
84,74,84,110
85,74,85,116
86,74,86,121
87,74,87,103
88,74,88,124
89,74,89,100
90,74,90,106
91,74,91,112
92,74,92,119
93,74,93,97
94,74,94,94
95,74,95,115
96,74,96,100
97,74,97,112
98,74,98,95
99,74,99,108
