,K,avgs,pro
0,66,101.68,1.540606061
1,67,103.17,1.539850746
2,68,101.15,1.4875
3,69,103.41,1.498695652
4,70,107.65,1.537857143
5,71,106.52,1.50028169
6,72,108.69,1.509583333
7,73,110.35,1.511643836
8,74,110.54,1.493783784
9,75,114.19,1.522533333
10,76,112.07,1.474605263
11,77,115.53,1.50038961
12,78,114.95,1.473717949
13,79,116.29,1.472025316
14,80,120.06,1.50075
15,81,119.24,1.472098765
16,82,121.19,1.477926829
17,83,124.73,1.502771084
18,84,125.54,1.49452381
19,85,123.21,1.449529412
20,86,126.02,1.465348837
21,87,126.76,1.457011494
22,88,130.09,1.478295455
23,89,130.88,1.470561798
24,90,133.24,1.480444444
25,91,133.7,1.469230769
26,92,137.04,1.489565217
27,93,136.81,1.471075269
28,94,139.01,1.478829787
29,95,137.74,1.449894737
30,96,138.4,1.441666667
31,97,144.42,1.488865979
32,98,142.09,1.449897959
33,99,142.21,1.436464646
34,100,145.81,1.4581
35,101,146.64,1.451881188
36,102,145.62,1.427647059
37,103,151.09,1.466893204
38,104,148.22,1.425192308
39,105,150.31,1.43152381
40,106,151.36,1.427924528
41,107,154.32,1.442242991
42,108,154.22,1.427962963
43,109,157.09,1.441192661
44,110,158.72,1.442909091
45,111,157.8,1.421621622
46,112,160.4,1.432142857
47,113,161.25,1.42699115
48,114,163.1,1.430701754
49,115,164.11,1.427043478
50,116,165.45,1.426293103
51,117,168.46,1.43982906
52,118,167.9,1.422881356
53,119,169.94,1.428067227
54,120,169.48,1.412333333
55,121,171.35,1.416115702
56,122,171.62,1.406721311
57,123,175.27,1.42495935
58,124,176.3,1.421774194
59,125,176.57,1.41256
60,126,178.72,1.418412698
61,127,178.13,1.402598425
62,128,181.08,1.4146875
63,129,184.5,1.430232558
64,130,182.39,1.403
65,131,184.63,1.409389313
66,132,185.22,1.403181818
67,133,189.45,1.42443609
68,134,187.12,1.39641791
69,135,189.11,1.400814815
70,136,190.22,1.398676471
71,137,190.87,1.393211679
72,138,191.86,1.390289855
73,139,194.99,1.402805755
74,140,196.41,1.402928571
75,141,197.89,1.403475177
76,142,197.29,1.389366197
77,143,201.08,1.406153846
78,144,198.06,1.375416667
79,145,201.19,1.387517241
80,146,203.11,1.391164384
81,147,204.97,1.394353741
82,148,208.41,1.408175676
83,149,208.04,1.396241611
