,num_chunks,times,drop_num_used
0,1000,0,1533
1,1000,1,1826
2,1000,2,1534
3,1000,3,1785
4,1000,4,1598
5,1000,5,1785
6,1000,6,2568
7,1000,7,2436
8,1000,8,1834
9,1000,9,2421
10,1000,10,1244
11,1000,11,2047
12,1000,12,1759
13,1000,13,1290
14,1000,14,1237
15,1000,15,1775
16,1000,16,1602
17,1000,17,1217
18,1000,18,2399
19,1000,19,2195
20,1000,20,1088
21,1000,21,2057
22,1000,22,1977
23,1000,23,2058
24,1000,24,1629
25,1000,25,1741
26,1000,26,2586
27,1000,27,2126
28,1000,28,2023
29,1000,29,1805
30,1000,30,1734
31,1000,31,2455
32,1000,32,1900
33,1000,33,2020
34,1000,34,1497
35,1000,35,2274
36,1000,36,2240
37,1000,37,1597
38,1000,38,1122
39,1000,39,1928
40,1000,40,1359
41,1000,41,2043
42,1000,42,1300
43,1000,43,1551
44,1000,44,1801
45,1000,45,1765
46,1000,46,1155
47,1000,47,2204
48,1000,48,1321
49,1000,49,1257
50,1000,50,1535
51,1000,51,1964
52,1000,52,1308
53,1000,53,2524
54,1000,54,1181
55,1000,55,2127
56,1000,56,1730
57,1000,57,1931
58,1000,58,1566
59,1000,59,1808
60,1000,60,1908
61,1000,61,1450
62,1000,62,1844
63,1000,63,1146
64,1000,64,1894
65,1000,65,1788
66,1000,66,2098
67,1000,67,1417
68,1000,68,2176
69,1000,69,1539
70,1000,70,2221
71,1000,71,2207
72,1000,72,1680
73,1000,73,2022
74,1000,74,2200
75,1000,75,1809
76,1000,76,1609
77,1000,77,2206
78,1000,78,1954
79,1000,79,1280
80,1000,80,1469
81,1000,81,1635
82,1000,82,2045
83,1000,83,2242
84,1000,84,2249
85,1000,85,2082
86,1000,86,1475
87,1000,87,2509
88,1000,88,1413
89,1000,89,2345
90,1000,90,1868
91,1000,91,1731
92,1000,92,2116
93,1000,93,1285
94,1000,94,2367
95,1000,95,1353
96,1000,96,2388
97,1000,97,1842
98,1000,98,1504
99,1000,99,1620
