,num_chunks,times,drop_num_used
0,110,0,151
1,110,1,148
2,110,2,155
3,110,3,153
4,110,4,160
5,110,5,196
6,110,6,176
7,110,7,161
8,110,8,160
9,110,9,151
10,110,10,170
11,110,11,205
12,110,12,169
13,110,13,231
14,110,14,154
15,110,15,163
16,110,16,153
17,110,17,140
18,110,18,156
19,110,19,158
20,110,20,205
21,110,21,135
22,110,22,172
23,110,23,156
24,110,24,161
25,110,25,160
26,110,26,166
27,110,27,165
28,110,28,162
29,110,29,145
30,110,30,169
31,110,31,155
32,110,32,200
33,110,33,160
34,110,34,149
35,110,35,151
36,110,36,151
37,110,37,147
38,110,38,173
39,110,39,150
40,110,40,157
41,110,41,155
42,110,42,163
43,110,43,205
44,110,44,168
45,110,45,149
46,110,46,140
47,110,47,151
48,110,48,165
49,110,49,173
50,110,50,214
51,110,51,217
52,110,52,160
53,110,53,143
54,110,54,145
55,110,55,151
56,110,56,144
57,110,57,162
58,110,58,185
59,110,59,188
60,110,60,243
61,110,61,165
62,110,62,153
63,110,63,168
64,110,64,134
65,110,65,164
66,110,66,150
67,110,67,159
68,110,68,162
69,110,69,145
70,110,70,157
71,110,71,155
72,110,72,156
73,110,73,196
74,110,74,148
75,110,75,148
76,110,76,157
77,110,77,150
78,110,78,163
79,110,79,150
80,110,80,139
81,110,81,159
82,110,82,213
83,110,83,180
84,110,84,143
85,110,85,162
86,110,86,147
87,110,87,156
88,110,88,140
89,110,89,145
90,110,90,147
91,110,91,148
92,110,92,156
93,110,93,141
94,110,94,137
95,110,95,166
96,110,96,191
97,110,97,220
98,110,98,172
99,110,99,150
