,K,avgs,pro
0,66,104.83,1.588333333
1,67,102.98,1.537014925
2,68,105.6,1.552941176
3,69,105.29,1.525942029
4,70,111.23,1.589
5,71,108.55,1.528873239
6,72,114.38,1.588611111
7,73,114.18,1.564109589
8,74,112.9,1.525675676
9,75,116.55,1.554
10,76,116.96,1.538947368
11,77,120.25,1.561688312
12,78,121.83,1.561923077
13,79,121.57,1.538860759
14,80,123.25,1.540625
15,81,123.35,1.522839506
16,82,122.52,1.494146341
17,83,127.96,1.541686747
18,84,128.69,1.53202381
19,85,128.38,1.510352941
20,86,132.04,1.535348837
21,87,133.29,1.532068966
22,88,135.05,1.534659091
23,89,137.2,1.541573034
24,90,136.32,1.514666667
25,91,134.9,1.482417582
26,92,139.05,1.511413043
27,93,138.85,1.493010753
28,94,142.11,1.511808511
29,95,144.31,1.519052632
30,96,141.59,1.474895833
31,97,145.73,1.502371134
32,98,149.26,1.523061224
33,99,147.69,1.491818182
34,100,151.06,1.5106
35,101,149.73,1.482475248
36,102,153.25,1.50245098
37,103,151.21,1.468058252
38,104,156.99,1.509519231
39,105,154.31,1.469619048
40,106,160.2,1.511320755
41,107,161.09,1.505514019
42,108,160.16,1.482962963
43,109,161.4,1.480733945
44,110,163.12,1.482909091
45,111,163.93,1.476846847
46,112,164.22,1.46625
47,113,167.93,1.486106195
48,114,165.34,1.450350877
49,115,168.99,1.469478261
50,116,169.11,1.457844828
51,117,168.38,1.439145299
52,118,171.65,1.454661017
53,119,171.84,1.444033613
54,120,176.16,1.468
55,121,174.26,1.440165289
56,122,183.07,1.50057377
57,123,179.95,1.46300813
58,124,180.06,1.452096774
59,125,181.48,1.45184
60,126,183.5,1.456349206
61,127,183.41,1.444173228
62,128,181.86,1.42078125
63,129,186.99,1.449534884
64,130,186.49,1.434538462
65,131,188.7,1.440458015
66,132,194.97,1.477045455
67,133,191.12,1.436992481
68,134,191.04,1.425671642
69,135,193.25,1.431481481
70,136,195.77,1.439485294
71,137,192.07,1.401970803
72,138,199.56,1.446086957
73,139,206.03,1.482230216
74,140,200.17,1.429785714
75,141,199.65,1.415957447
76,142,199.46,1.404647887
77,143,206.43,1.443566434
78,144,203.48,1.413055556
79,145,205.49,1.417172414
80,146,210.57,1.442260274
81,147,208.22,1.416462585
82,148,210.75,1.423986486
83,149,212.36,1.425234899
84,150,215.79,1.4386
