,num_chunks,times,drop_num_used
0,1500,0,2966
1,1500,1,3220
2,1500,2,3335
3,1500,3,3698
4,1500,4,2641
5,1500,5,3844
6,1500,6,3569
7,1500,7,3058
8,1500,8,2861
9,1500,9,3251
10,1500,10,2658
11,1500,11,3295
12,1500,12,4115
13,1500,13,3465
14,1500,14,3559
15,1500,15,3445
16,1500,16,4121
17,1500,17,3166
18,1500,18,2547
19,1500,19,2856
20,1500,20,2815
21,1500,21,3474
22,1500,22,2984
23,1500,23,3222
24,1500,24,2467
25,1500,25,4127
26,1500,26,2887
27,1500,27,3120
28,1500,28,3413
29,1500,29,2328
30,1500,30,2938
31,1500,31,2511
32,1500,32,3265
33,1500,33,4647
34,1500,34,3306
35,1500,35,3815
36,1500,36,4021
37,1500,37,3076
38,1500,38,3108
39,1500,39,3209
40,1500,40,3577
41,1500,41,2752
42,1500,42,2661
43,1500,43,2560
44,1500,44,3345
45,1500,45,3378
46,1500,46,3047
47,1500,47,3523
48,1500,48,3901
49,1500,49,3104
50,1500,50,4354
51,1500,51,3127
52,1500,52,4488
53,1500,53,4809
54,1500,54,3628
55,1500,55,2976
56,1500,56,3101
57,1500,57,4747
58,1500,58,3930
59,1500,59,2730
60,1500,60,2982
61,1500,61,2981
62,1500,62,3365
63,1500,63,3913
64,1500,64,3382
65,1500,65,2716
66,1500,66,3383
67,1500,67,3412
68,1500,68,2733
69,1500,69,3163
70,1500,70,3344
71,1500,71,3661
72,1500,72,2711
73,1500,73,3484
74,1500,74,3295
75,1500,75,1904
76,1500,76,3664
77,1500,77,3111
78,1500,78,2375
79,1500,79,3528
80,1500,80,2850
81,1500,81,4265
82,1500,82,3111
83,1500,83,3216
84,1500,84,3636
85,1500,85,3240
86,1500,86,5483
87,1500,87,2740
88,1500,88,3914
89,1500,89,3615
90,1500,90,3031
91,1500,91,2910
92,1500,92,3446
93,1500,93,3544
94,1500,94,4051
95,1500,95,3586
96,1500,96,2814
97,1500,97,3191
98,1500,98,2745
99,1500,99,3216
