,num_chunks,times,drop_num_used
0,136,0,180
1,136,1,202
2,136,2,204
3,136,3,230
4,136,4,192
5,136,5,326
6,136,6,180
7,136,7,178
8,136,8,435
9,136,9,412
10,136,10,216
11,136,11,187
12,136,12,699
13,136,13,172
14,136,14,448
15,136,15,363
16,136,16,262
17,136,17,179
18,136,18,201
19,136,19,356
20,136,20,205
21,136,21,313
22,136,22,165
23,136,23,190
24,136,24,197
25,136,25,214
26,136,26,195
27,136,27,235
28,136,28,207
29,136,29,176
30,136,30,167
31,136,31,255
32,136,32,232
33,136,33,219
34,136,34,366
35,136,35,182
36,136,36,229
37,136,37,252
38,136,38,287
39,136,39,300
40,136,40,193
41,136,41,169
42,136,42,256
43,136,43,308
44,136,44,270
45,136,45,216
46,136,46,197
47,136,47,318
48,136,48,271
49,136,49,299
50,136,50,200
51,136,51,182
52,136,52,190
53,136,53,347
54,136,54,175
55,136,55,189
56,136,56,254
57,136,57,280
58,136,58,193
59,136,59,223
60,136,60,182
61,136,61,338
62,136,62,206
63,136,63,201
64,136,64,198
65,136,65,327
66,136,66,209
67,136,67,169
68,136,68,229
69,136,69,187
70,136,70,208
71,136,71,171
72,136,72,175
73,136,73,920
74,136,74,451
75,136,75,476
76,136,76,170
77,136,77,191
78,136,78,213
79,136,79,213
80,136,80,192
81,136,81,200
82,136,82,237
83,136,83,191
84,136,84,174
85,136,85,173
86,136,86,334
87,136,87,222
88,136,88,322
89,136,89,188
90,136,90,180
91,136,91,221
92,136,92,168
93,136,93,282
94,136,94,166
95,136,95,203
96,136,96,265
97,136,97,210
98,136,98,195
99,136,99,253
