,K,avgs,pro
0,66,162.58,2.463333333
1,67,161.85,2.415671642
2,68,174.32,2.563529412
3,69,156.7,2.271014493
4,70,154.79,2.211285714
5,71,171.46,2.414929577
6,72,165.44,2.297777778
7,73,167.75,2.297945205
8,74,161.65,2.184459459
9,75,164.9,2.198666667
10,76,178.08,2.343157895
11,77,190.02,2.467792208
12,78,173.44,2.223589744
13,79,178.63,2.261139241
14,80,168.21,2.102625
15,81,178.72,2.206419753
16,82,179.89,2.193780488
17,83,202.08,2.434698795
18,84,176.28,2.098571429
19,85,189.86,2.233647059
20,86,191.16,2.222790698
21,87,170.48,1.95954023
22,88,173.38,1.970227273
23,89,197.59,2.22011236
24,90,203.46,2.260666667
25,91,174.87,1.921648352
26,92,196.72,2.13826087
27,93,188.41,2.025913978
28,94,206.07,2.192234043
29,95,201.09,2.116736842
30,96,200.32,2.086666667
31,97,209.74,2.162268041
32,98,187.44,1.912653061
33,99,201.02,2.030505051
34,100,203.54,2.0354
35,101,197.41,1.954554455
36,102,189.83,1.861078431
37,103,198.38,1.926019417
38,104,204.25,1.963942308
39,105,209.03,1.990761905
40,106,201.98,1.905471698
41,107,208.04,1.944299065
42,108,202.51,1.875092593
43,109,214.89,1.97146789
44,110,199.41,1.812818182
45,111,216.31,1.948738739
46,112,203.17,1.814017857
47,113,219.79,1.945044248
48,114,209.98,1.841929825
49,115,221.79,1.928608696
50,116,217.87,1.878189655
51,117,224.81,1.921452991
52,118,215.12,1.823050847
53,119,217.83,1.830504202
54,120,229.9,1.915833333
55,121,215.52,1.781157025
56,122,212.34,1.740491803
57,123,224.42,1.824552846
58,124,237.26,1.913387097
59,125,223.61,1.78888
60,126,231.78,1.83952381
61,127,233.97,1.842283465
62,128,224.51,1.753984375
63,129,230.97,1.790465116
64,130,227.61,1.750846154
65,131,239.74,1.830076336
66,132,245.37,1.858863636
67,133,216.7,1.629323308
68,134,235.23,1.755447761
69,135,240.58,1.782074074
70,136,247.48,1.819705882
71,137,253.92,1.853430657
72,138,257.44,1.865507246
73,139,227.42,1.636115108
74,140,252.29,1.802071429
75,141,245.37,1.740212766
76,142,246.51,1.735985915
77,143,254.77,1.781608392
78,144,246.75,1.713541667
79,145,251.92,1.73737931
80,146,270.82,1.854931507
81,147,256.15,1.742517007
82,148,250.96,1.695675676
83,149,253.58,1.701879195
84,150,267.13,1.780866667
