,num_chunks,times,drop_num_used
0,250,0,321
1,250,1,326
2,250,2,345
3,250,3,338
4,250,4,334
5,250,5,315
6,250,6,324
7,250,7,333
8,250,8,329
9,250,9,333
10,250,10,332
11,250,11,328
12,250,12,329
13,250,13,337
14,250,14,342
15,250,15,336
16,250,16,335
17,250,17,331
18,250,18,330
19,250,19,330
20,250,20,322
21,250,21,332
22,250,22,320
23,250,23,323
24,250,24,334
25,250,25,329
26,250,26,333
27,250,27,341
28,250,28,342
29,250,29,336
30,250,30,341
31,250,31,334
32,250,32,335
33,250,33,325
34,250,34,321
35,250,35,345
36,250,36,325
37,250,37,342
38,250,38,359
39,250,39,344
40,250,40,329
41,250,41,331
42,250,42,329
43,250,43,334
44,250,44,337
45,250,45,343
46,250,46,340
47,250,47,324
48,250,48,345
49,250,49,339
50,250,50,329
51,250,51,341
52,250,52,332
53,250,53,336
54,250,54,329
55,250,55,333
56,250,56,321
57,250,57,321
58,250,58,341
59,250,59,324
60,250,60,338
61,250,61,333
62,250,62,341
63,250,63,333
64,250,64,342
65,250,65,331
66,250,66,345
67,250,67,331
68,250,68,334
69,250,69,338
70,250,70,332
71,250,71,337
72,250,72,340
73,250,73,334
74,250,74,327
75,250,75,335
76,250,76,336
77,250,77,342
78,250,78,324
79,250,79,336
80,250,80,338
81,250,81,318
82,250,82,338
83,250,83,330
84,250,84,317
85,250,85,326
86,250,86,331
87,250,87,340
88,250,88,326
89,250,89,347
90,250,90,332
91,250,91,343
92,250,92,333
93,250,93,330
94,250,94,327
95,250,95,352
96,250,96,332
97,250,97,325
98,250,98,340
99,250,99,331
