,num_chunks,times,drop_num_used
0,350,0,406
1,350,1,386
2,350,2,402
3,350,3,400
4,350,4,411
5,350,5,412
6,350,6,397
7,350,7,391
8,350,8,396
9,350,9,391
10,350,10,399
11,350,11,393
12,350,12,395
13,350,13,392
14,350,14,398
15,350,15,393
16,350,16,398
17,350,17,395
18,350,18,402
19,350,19,401
20,350,20,405
21,350,21,397
22,350,22,408
23,350,23,405
24,350,24,392
25,350,25,399
26,350,26,401
27,350,27,401
28,350,28,397
29,350,29,401
30,350,30,401
31,350,31,394
32,350,32,402
33,350,33,399
34,350,34,407
35,350,35,400
36,350,36,407
37,350,37,391
38,350,38,396
39,350,39,393
40,350,40,392
41,350,41,411
42,350,42,397
43,350,43,393
44,350,44,403
45,350,45,399
46,350,46,403
47,350,47,391
48,350,48,393
49,350,49,399
50,350,50,396
51,350,51,402
52,350,52,402
53,350,53,405
54,350,54,392
55,350,55,396
56,350,56,392
57,350,57,386
58,350,58,403
59,350,59,387
60,350,60,402
61,350,61,392
62,350,62,399
63,350,63,397
64,350,64,405
65,350,65,403
66,350,66,393
67,350,67,401
68,350,68,404
69,350,69,396
70,350,70,402
71,350,71,406
72,350,72,413
73,350,73,393
74,350,74,401
75,350,75,392
76,350,76,394
77,350,77,394
78,350,78,390
79,350,79,411
80,350,80,399
81,350,81,402
82,350,82,401
83,350,83,393
84,350,84,391
85,350,85,394
86,350,86,404
87,350,87,392
88,350,88,394
89,350,89,395
90,350,90,393
91,350,91,391
92,350,92,401
93,350,93,396
94,350,94,394
95,350,95,403
96,350,96,395
97,350,97,396
98,350,98,387
99,350,99,402
