,num_chunks,times,drop_num_used
0,5000,0,5231
1,5000,1,5245
2,5000,2,5256
3,5000,3,5263
4,5000,4,5257
5,5000,5,5282
6,5000,6,5243
7,5000,7,5268
8,5000,8,5262
9,5000,9,5274
10,5000,10,5233
11,5000,11,5259
12,5000,12,5222
13,5000,13,5258
14,5000,14,5277
15,5000,15,5242
16,5000,16,5229
17,5000,17,5264
18,5000,18,5218
19,5000,19,5241
20,5000,20,5270
21,5000,21,5309
22,5000,22,5242
23,5000,23,5285
24,5000,24,5250
25,5000,25,5241
26,5000,26,5285
27,5000,27,5249
28,5000,28,5227
29,5000,29,5230
30,5000,30,5226
31,5000,31,5234
32,5000,32,5276
33,5000,33,5272
34,5000,34,5243
35,5000,35,5276
36,5000,36,5229
37,5000,37,5243
38,5000,38,5235
39,5000,39,5287
40,5000,40,5223
41,5000,41,5240
42,5000,42,5250
43,5000,43,5227
44,5000,44,5250
45,5000,45,5252
46,5000,46,5293
47,5000,47,5259
48,5000,48,5265
49,5000,49,5283
50,5000,50,5235
51,5000,51,5262
52,5000,52,5259
53,5000,53,5249
54,5000,54,5248
55,5000,55,5253
56,5000,56,5252
57,5000,57,5257
58,5000,58,5242
59,5000,59,5229
60,5000,60,5262
61,5000,61,5241
62,5000,62,5254
63,5000,63,5228
64,5000,64,5271
65,5000,65,5255
66,5000,66,5262
67,5000,67,5275
68,5000,68,5227
69,5000,69,5267
70,5000,70,5253
71,5000,71,5256
72,5000,72,5262
73,5000,73,5230
74,5000,74,5242
75,5000,75,5280
76,5000,76,5234
77,5000,77,5287
78,5000,78,5293
79,5000,79,5252
80,5000,80,5240
81,5000,81,5253
82,5000,82,5225
83,5000,83,5250
84,5000,84,5264
85,5000,85,5253
86,5000,86,5239
87,5000,87,5243
88,5000,88,5232
89,5000,89,5249
90,5000,90,5281
91,5000,91,5291
92,5000,92,5254
93,5000,93,5266
94,5000,94,5259
95,5000,95,5255
96,5000,96,5259
97,5000,97,5271
98,5000,98,5286
99,5000,99,5262
