,num_chunks,times,drop_num_used
0,500,0,551
1,500,1,541
2,500,2,544
3,500,3,544
4,500,4,557
5,500,5,551
6,500,6,551
7,500,7,549
8,500,8,542
9,500,9,551
10,500,10,554
11,500,11,543
12,500,12,544
13,500,13,565
14,500,14,541
15,500,15,552
16,500,16,544
17,500,17,551
18,500,18,554
19,500,19,555
20,500,20,563
21,500,21,551
22,500,22,541
23,500,23,551
24,500,24,545
25,500,25,541
26,500,26,561
27,500,27,552
28,500,28,552
29,500,29,559
30,500,30,561
31,500,31,546
32,500,32,551
33,500,33,557
34,500,34,555
35,500,35,553
36,500,36,556
37,500,37,551
38,500,38,551
39,500,39,552
40,500,40,542
41,500,41,564
42,500,42,546
43,500,43,554
44,500,44,554
45,500,45,557
46,500,46,543
47,500,47,543
48,500,48,555
49,500,49,549
50,500,50,545
51,500,51,551
52,500,52,541
53,500,53,552
54,500,54,551
55,500,55,542
56,500,56,562
57,500,57,551
58,500,58,538
59,500,59,560
60,500,60,561
61,500,61,560
62,500,62,560
63,500,63,547
64,500,64,542
65,500,65,550
66,500,66,553
67,500,67,551
68,500,68,547
69,500,69,539
70,500,70,551
71,500,71,542
72,500,72,558
73,500,73,551
74,500,74,548
75,500,75,551
76,500,76,561
77,500,77,543
78,500,78,561
79,500,79,542
80,500,80,551
81,500,81,551
82,500,82,540
83,500,83,559
84,500,84,545
85,500,85,566
86,500,86,554
87,500,87,555
88,500,88,551
89,500,89,556
90,500,90,555
91,500,91,551
92,500,92,544
93,500,93,551
94,500,94,567
95,500,95,555
96,500,96,554
97,500,97,537
98,500,98,551
99,500,99,546
