,num_chunks,times,drop_num_used
0,100,0,126
1,100,1,127
2,100,2,121
3,100,3,117
4,100,4,121
5,100,5,121
6,100,6,115
7,100,7,125
8,100,8,126
9,100,9,120
10,100,10,112
11,100,11,121
12,100,12,132
13,100,13,119
14,100,14,121
15,100,15,129
16,100,16,121
17,100,17,120
18,100,18,126
19,100,19,117
20,100,20,137
21,100,21,121
22,100,22,125
23,100,23,129
24,100,24,120
25,100,25,122
26,100,26,123
27,100,27,117
28,100,28,120
29,100,29,115
30,100,30,127
31,100,31,123
32,100,32,125
33,100,33,130
34,100,34,132
35,100,35,119
36,100,36,124
37,100,37,125
38,100,38,124
39,100,39,121
40,100,40,125
41,100,41,122
42,100,42,114
43,100,43,119
44,100,44,117
45,100,45,120
46,100,46,131
47,100,47,122
48,100,48,123
49,100,49,121
50,100,50,131
51,100,51,131
52,100,52,123
53,100,53,117
54,100,54,123
55,100,55,122
56,100,56,123
57,100,57,121
58,100,58,121
59,100,59,126
60,100,60,117
61,100,61,122
62,100,62,122
63,100,63,123
64,100,64,122
65,100,65,125
66,100,66,126
67,100,67,121
68,100,68,128
69,100,69,121
70,100,70,121
71,100,71,121
72,100,72,120
73,100,73,131
74,100,74,122
75,100,75,123
76,100,76,126
77,100,77,125
78,100,78,125
79,100,79,121
80,100,80,129
81,100,81,131
82,100,82,121
83,100,83,124
84,100,84,130
85,100,85,123
86,100,86,127
87,100,87,123
88,100,88,121
89,100,89,122
90,100,90,121
91,100,91,124
92,100,92,133
93,100,93,123
94,100,94,121
95,100,95,121
96,100,96,121
97,100,97,117
98,100,98,122
99,100,99,121
