,K,avgs,pro
0,66,84.77,1.284393939
1,67,85.04,1.269253731
2,68,86.66,1.274411765
3,69,88.41,1.281304348
4,70,88.85,1.269285714
5,71,90.91,1.280422535
6,72,91.56,1.271666667
7,73,91.95,1.259589041
8,74,93.76,1.267027027
9,75,95.07,1.2676
10,76,96.43,1.268815789
11,77,97.39,1.264805195
12,78,97.84,1.254358974
13,79,98.96,1.252658228
14,80,100.72,1.259
15,81,102.17,1.261358025
16,82,102.76,1.253170732
17,83,103.72,1.249638554
18,84,104.74,1.246904762
19,85,106.32,1.250823529
20,86,107.08,1.245116279
21,87,108.6,1.248275862
22,88,109.75,1.247159091
23,89,111.37,1.251348315
24,90,111.78,1.242
25,91,113.11,1.242967033
26,92,115.47,1.255108696
27,93,114.69,1.233225806
28,94,116.22,1.236382979
29,95,118.36,1.245894737
30,96,118.65,1.2359375
31,97,119.69,1.233917526
32,98,121.49,1.239693878
33,99,122.82,1.240606061
34,100,123.07,1.2307
35,101,123.69,1.224653465
36,102,125.68,1.232156863
37,103,126.26,1.225825243
38,104,128.13,1.232019231
39,105,129.29,1.231333333
40,106,129.06,1.21754717
41,107,131.03,1.224579439
42,108,132.38,1.225740741
43,109,133.36,1.223486239
44,110,134.46,1.222363636
45,111,135.59,1.221531532
46,112,136.27,1.216696429
47,113,138.37,1.224513274
48,114,139.01,1.219385965
49,115,140.58,1.222434783
50,116,141.49,1.219741379
51,117,141.7,1.211111111
52,118,143.74,1.218135593
53,119,144.3,1.212605042
54,120,145.67,1.213916667
55,121,146.88,1.213884298
56,122,147.36,1.207868852
57,123,149.66,1.216747967
58,124,150.04,1.21
59,125,151.46,1.21168
60,126,152.64,1.211428571
61,127,154.01,1.212677165
62,128,155.12,1.211875
63,129,155.7,1.206976744
64,130,157.48,1.211384615
65,131,157.84,1.204885496
66,132,159.79,1.210530303
67,133,160.33,1.205488722
68,134,162.08,1.209552239
69,135,162.19,1.201407407
70,136,163.74,1.203970588
71,137,164.57,1.201240876
72,138,165.24,1.197391304
73,139,168.36,1.211223022
74,140,168.12,1.200857143
75,141,169.34,1.200992908
76,142,170.11,1.197957746
77,143,170.94,1.195384615
78,144,172.27,1.196319444
79,145,173.51,1.19662069
80,146,175.3,1.200684932
81,147,175.94,1.196870748
82,148,176.12,1.19
83,149,177.99,1.194563758
