,num_chunks,times,drop_num_used
0,81,0,102
1,81,1,100
2,81,2,100
3,81,3,102
4,81,4,103
5,81,5,102
6,81,6,103
7,81,7,102
8,81,8,102
9,81,9,102
10,81,10,95
11,81,11,96
12,81,12,102
13,81,13,102
14,81,14,102
15,81,15,104
16,81,16,93
17,81,17,95
18,81,18,93
19,81,19,107
20,81,20,102
21,81,21,103
22,81,22,108
23,81,23,103
24,81,24,104
25,81,25,102
26,81,26,93
27,81,27,102
28,81,28,102
29,81,29,97
30,81,30,102
31,81,31,102
32,81,32,98
33,81,33,102
34,81,34,98
35,81,35,104
36,81,36,112
37,81,37,97
38,81,38,103
39,81,39,101
40,81,40,102
41,81,41,102
42,81,42,102
43,81,43,98
44,81,44,105
45,81,45,106
46,81,46,102
47,81,47,100
48,81,48,94
49,81,49,107
50,81,50,103
51,81,51,100
52,81,52,100
53,81,53,102
54,81,54,112
55,81,55,108
56,81,56,102
57,81,57,102
58,81,58,103
59,81,59,96
60,81,60,103
61,81,61,96
62,81,62,97
63,81,63,105
64,81,64,102
65,81,65,96
66,81,66,102
67,81,67,98
68,81,68,102
69,81,69,102
70,81,70,102
71,81,71,106
72,81,72,102
73,81,73,96
74,81,74,102
75,81,75,106
76,81,76,107
77,81,77,102
78,81,78,108
79,81,79,98
80,81,80,107
81,81,81,101
82,81,82,97
83,81,83,97
84,81,84,101
85,81,85,95
86,81,86,101
87,81,87,102
88,81,88,102
89,81,89,102
90,81,90,112
91,81,91,105
92,81,92,99
93,81,93,104
94,81,94,104
95,81,95,102
96,81,96,105
97,81,97,103
98,81,98,102
99,81,99,103
