,K,avgs,pro
0,66,85.11,1.289545455
1,67,84.93,1.26761194
2,68,86.74,1.275588235
3,69,87.88,1.273623188
4,70,89.32,1.276
5,71,90.02,1.267887324
6,72,92.01,1.277916667
7,73,92.65,1.269178082
8,74,92.85,1.25472973
9,75,94.83,1.2644
10,76,95.69,1.259078947
11,77,97.12,1.261298701
12,78,98.67,1.265
13,79,99.38,1.257974684
14,80,100.69,1.258625
15,81,101.64,1.254814815
16,82,102.33,1.247926829
17,83,103.73,1.249759036
18,84,104.84,1.248095238
19,85,106.37,1.251411765
20,86,106.96,1.24372093
21,87,107.99,1.241264368
22,88,108.23,1.229886364
23,89,109.9,1.234831461
24,90,111.43,1.238111111
25,91,112.51,1.236373626
26,92,114.42,1.243695652
27,93,115.43,1.241182796
28,94,116.2,1.236170213
29,95,116.4,1.225263158
30,96,117.93,1.2284375
31,97,119.23,1.229175258
32,98,120.19,1.226428571
33,99,122.28,1.235151515
34,100,122.69,1.2269
35,101,123.77,1.225445545
36,102,124.83,1.223823529
37,103,125.21,1.215631068
38,104,127.4,1.225
39,105,128.28,1.221714286
40,106,129.23,1.219150943
41,107,130.11,1.215981308
42,108,132.1,1.223148148
43,109,132.95,1.219724771
44,110,134.23,1.220272727
45,111,136.08,1.225945946
46,112,135.47,1.209553571
47,113,136.58,1.208672566
48,114,137.96,1.210175439
49,115,139.35,1.21173913
50,116,140.13,1.208017241
51,117,140.94,1.204615385
52,118,142.04,1.203728814
53,119,143.47,1.205630252
54,120,144.69,1.20575
55,121,144.28,1.192396694
56,122,147.3,1.207377049
57,123,148.29,1.205609756
58,124,149.25,1.203629032
59,125,150.04,1.20032
60,126,151.04,1.198730159
61,127,151.89,1.195984252
62,128,153.22,1.19703125
63,129,153.89,1.192945736
64,130,155.77,1.198230769
65,131,157.32,1.200916031
66,132,157.77,1.195227273
67,133,158.36,1.190676692
68,134,159.34,1.189104478
69,135,161.66,1.197481481
70,136,162.18,1.1925
71,137,164.05,1.197445255
72,138,164.2,1.189855072
73,139,165.08,1.187625899
74,140,166.6,1.19
75,141,167.85,1.190425532
76,142,169.1,1.19084507
77,143,169.01,1.181888112
78,144,170.51,1.184097222
79,145,171.97,1.186
80,146,172.58,1.182054795
81,147,173.67,1.181428571
82,148,175.54,1.186081081
83,149,176.39,1.183825503
