,num_chunks,times,drop_num_used
0,82,0,103
1,82,1,110
2,82,2,95
3,82,3,110
4,82,4,109
5,82,5,100
6,82,6,106
7,82,7,105
8,82,8,103
9,82,9,105
10,82,10,109
11,82,11,104
12,82,12,99
13,82,13,99
14,82,14,107
15,82,15,103
16,82,16,103
17,82,17,103
18,82,18,97
19,82,19,103
20,82,20,98
21,82,21,111
22,82,22,105
23,82,23,102
24,82,24,109
25,82,25,102
26,82,26,105
27,82,27,103
28,82,28,103
29,82,29,104
30,82,30,98
31,82,31,103
32,82,32,103
33,82,33,103
34,82,34,111
35,82,35,103
36,82,36,98
37,82,37,100
38,82,38,103
39,82,39,115
40,82,40,98
41,82,41,103
42,82,42,104
43,82,43,103
44,82,44,98
45,82,45,103
46,82,46,108
47,82,47,96
48,82,48,96
49,82,49,96
50,82,50,113
51,82,51,104
52,82,52,110
53,82,53,105
54,82,54,111
55,82,55,94
56,82,56,115
57,82,57,98
58,82,58,100
59,82,59,95
60,82,60,106
61,82,61,105
62,82,62,106
63,82,63,105
64,82,64,105
65,82,65,103
66,82,66,100
67,82,67,104
68,82,68,106
69,82,69,96
70,82,70,100
71,82,71,97
72,82,72,103
73,82,73,111
74,82,74,99
75,82,75,102
76,82,76,102
77,82,77,113
78,82,78,103
79,82,79,99
80,82,80,100
81,82,81,100
82,82,82,105
83,82,83,95
84,82,84,104
85,82,85,110
86,82,86,103
87,82,87,101
88,82,88,103
89,82,89,105
90,82,90,113
91,82,91,106
92,82,92,94
93,82,93,103
94,82,94,117
95,82,95,104
96,82,96,108
97,82,97,106
98,82,98,107
99,82,99,103
