,K,avgs,pro
0,66,85.08,1.289090909
1,67,86.5,1.291044776
2,68,87.72,1.29
3,69,88.44,1.28173913
4,70,89.2,1.274285714
5,71,91.21,1.284647887
6,72,91.62,1.2725
7,73,93.47,1.280410959
8,74,94.66,1.279189189
9,75,95.47,1.272933333
10,76,97.36,1.281052632
11,77,97.79,1.27
12,78,99.58,1.276666667
13,79,99.22,1.255949367
14,80,100.07,1.250875
15,81,102.52,1.265679012
16,82,103.54,1.262682927
17,83,104.75,1.262048193
18,84,106.54,1.268333333
19,85,106.81,1.256588235
20,86,107.68,1.252093023
21,87,109.74,1.26137931
22,88,110.22,1.2525
23,89,111.64,1.254382022
24,90,112.9,1.254444444
25,91,113.7,1.249450549
26,92,114.16,1.240869565
27,93,116.42,1.251827957
28,94,116.81,1.242659574
29,95,118.25,1.244736842
30,96,119.56,1.245416667
31,97,121.29,1.250412371
32,98,122.06,1.245510204
33,99,123.57,1.248181818
34,100,124.89,1.2489
35,101,125.15,1.239108911
36,102,127.01,1.245196078
37,103,127.04,1.233398058
38,104,129.01,1.240480769
39,105,130.45,1.242380952
40,106,131.29,1.238584906
41,107,132.12,1.234766355
42,108,132.92,1.230740741
43,109,134.83,1.236972477
44,110,135.32,1.230181818
45,111,136.94,1.233693694
46,112,138,1.232142857
47,113,139.18,1.231681416
48,114,139.44,1.223157895
49,115,142.16,1.236173913
50,116,142.17,1.225603448
51,117,142.8,1.220512821
52,118,144.02,1.220508475
53,119,145.17,1.219915966
54,120,146.56,1.221333333
55,121,147.88,1.22214876
56,122,148.47,1.216967213
57,123,150.55,1.22398374
58,124,151.98,1.225645161
59,125,152.63,1.22104
60,126,153.57,1.218809524
61,127,155.4,1.223622047
62,128,156.56,1.223125
63,129,157.18,1.218449612
64,130,157.93,1.214846154
65,131,159.39,1.216717557
66,132,161.08,1.22030303
67,133,160.7,1.208270677
68,134,161.83,1.207686567
69,135,163.62,1.212
70,136,165,1.213235294
71,137,165.07,1.204890511
72,138,167.98,1.217246377
73,139,167.58,1.205611511
74,140,169.58,1.211285714
75,141,169.54,1.202411348
76,142,170.93,1.203732394
77,143,172.27,1.204685315
78,144,173.04,1.201666667
79,145,174.7,1.204827586
80,146,175.71,1.203493151
81,147,177.57,1.207959184
82,148,177.79,1.201283784
83,149,178.5,1.197986577
