,num_chunks,times,drop_num_used
0,200,0,239
1,200,1,233
2,200,2,232
3,200,3,238
4,200,4,241
5,200,5,231
6,200,6,231
7,200,7,225
8,200,8,231
9,200,9,231
10,200,10,231
11,200,11,231
12,200,12,233
13,200,13,235
14,200,14,225
15,200,15,230
16,200,16,228
17,200,17,236
18,200,18,233
19,200,19,241
20,200,20,244
21,200,21,241
22,200,22,237
23,200,23,241
24,200,24,224
25,200,25,246
26,200,26,241
27,200,27,236
28,200,28,231
29,200,29,232
30,200,30,232
31,200,31,232
32,200,32,232
33,200,33,232
34,200,34,237
35,200,35,234
36,200,36,235
37,200,37,227
38,200,38,233
39,200,39,241
40,200,40,233
41,200,41,237
42,200,42,241
43,200,43,241
44,200,44,234
45,200,45,235
46,200,46,233
47,200,47,241
48,200,48,233
49,200,49,244
50,200,50,231
51,200,51,241
52,200,52,224
53,200,53,241
54,200,54,242
55,200,55,237
56,200,56,242
57,200,57,231
58,200,58,242
59,200,59,240
60,200,60,241
61,200,61,239
62,200,62,247
63,200,63,231
64,200,64,234
65,200,65,236
66,200,66,234
67,200,67,230
68,200,68,239
69,200,69,241
70,200,70,231
71,200,71,241
72,200,72,231
73,200,73,231
74,200,74,227
75,200,75,224
76,200,76,234
77,200,77,241
78,200,78,236
79,200,79,231
80,200,80,231
81,200,81,231
82,200,82,236
83,200,83,233
84,200,84,233
85,200,85,233
86,200,86,241
87,200,87,231
88,200,88,246
89,200,89,233
90,200,90,232
91,200,91,231
92,200,92,226
93,200,93,232
94,200,94,238
95,200,95,226
96,200,96,239
97,200,97,240
98,200,98,231
99,200,99,224
