,num_chunks,times,drop_num_used
0,81,0,103
1,81,1,103
2,81,2,104
3,81,3,102
4,81,4,109
5,81,5,101
6,81,6,95
7,81,7,109
8,81,8,112
9,81,9,102
10,81,10,103
11,81,11,101
12,81,12,103
13,81,13,102
14,81,14,96
15,81,15,102
16,81,16,102
17,81,17,102
18,81,18,102
19,81,19,105
20,81,20,95
21,81,21,112
22,81,22,105
23,81,23,106
24,81,24,103
25,81,25,93
26,81,26,103
27,81,27,94
28,81,28,102
29,81,29,103
30,81,30,108
31,81,31,104
32,81,32,102
33,81,33,102
34,81,34,107
35,81,35,112
36,81,36,102
37,81,37,102
38,81,38,96
39,81,39,103
40,81,40,102
41,81,41,102
42,81,42,104
43,81,43,104
44,81,44,112
45,81,45,104
46,81,46,102
47,81,47,93
48,81,48,103
49,81,49,102
50,81,50,101
51,81,51,102
52,81,52,102
53,81,53,102
54,81,54,97
55,81,55,105
56,81,56,102
57,81,57,98
58,81,58,103
59,81,59,104
60,81,60,97
61,81,61,102
62,81,62,99
63,81,63,104
64,81,64,104
65,81,65,104
66,81,66,102
67,81,67,102
68,81,68,102
69,81,69,104
70,81,70,107
71,81,71,96
72,81,72,102
73,81,73,105
74,81,74,102
75,81,75,112
76,81,76,103
77,81,77,104
78,81,78,107
79,81,79,101
80,81,80,103
81,81,81,100
82,81,82,101
83,81,83,104
84,81,84,108
85,81,85,104
86,81,86,103
87,81,87,112
88,81,88,107
89,81,89,102
90,81,90,104
91,81,91,103
92,81,92,103
93,81,93,106
94,81,94,102
95,81,95,102
96,81,96,103
97,81,97,107
98,81,98,97
99,81,99,112
