,code rate,size
0,1.555775259751651,50
1,2.8432230705932655,550
2,3.853715700509019,1050
3,6.784071333666912,1550
4,9.081194082946308,2050
5,16.154973400579685,2550
6,24.3123888355486,3050
7,31.292083718686133,3550
8,53.04824878528438,4050
9,77.81884767284247,4550
10,124.47922103509643,5050
11,168.24405790327253,5550
12,286.82189978498366,6050
13,464.5153506663594,6550
14,592.6795918208317,7050
15,905.0306272611261,7550
16,1495.9435858681402,8050
17,1948.2304183231058,8550
18,2896.9864305562596,9050
19,5549.476124497878,9550
20,6082.886198410293,10050
21,11808.596880714736,10550
22,14187.593194098028,11050
23,18859.42386422559,11550
24,31799.630196828526,12050
25,49701.26521345595,12550
26,84357.70040874441,13050
27,113107.89680641434,13550
28,191268.40090793266,14050
29,233377.24446858634,14550
30,354947.61345100554,15050
31,531148.1913200181,15550
32,848621.97772462,16050
33,993285.1170791428,16550
34,1497527.1965402756,17050
35,2567524.22955338,17550
36,3905243.573189426,18050
37,5724834.814130561,18550
38,9334090.267341956,19050
39,13921008.913782937,19550
40,16775534.60179943,20050
41,25650763.57434309,20550
42,42721724.87070492,21050
43,54485848.22716287,21550
44,89331731.06810191,22050
45,122192775.94897173,22550
46,246058863.42697093,23050
47,334993267.8233153,23550
48,499276828.94595623,24050
49,887056111.0526334,24550
50,977367990.2906712,25050
51,1878561469.4489813,25550
52,2113273963.1739175,26050
53,3167953457.5025625,26550
54,5778155331.890782,27050
55,8988540951.982851,27550
56,10636610942.254036,28050
57,17597510786.323322,28550
58,23785269179.194992,29050
59,38316116447.63389,29550
60,61499212382.38497,30050
61,79219198934.63405,30550
62,135617002390.50958,31050
63,193832129121.02893,31550
64,422825284421.8056,32050
65,418093158636.774,32550
66,469890720329.1912,33050
67,773483047696.0114,33550
68,1264799918114.271,34050
69,2021064698388.407,34550
70,2361199746499.7036,35050
71,3654092502128.7627,35550
72,4790220718318.378,36050
73,8544814649488.812,36550
74,13490004068148.139,37050
75,21655166866143.72,37550
76,34037776550526.49,38050
77,41774970481003.61,38550
78,74667451190045.64,39050
79,97665572161597.03,39550
