,file_list,psnr,size
0,/media/ucc/EE42E1D62A24B251/work_place/img_dwt/lib/../simulation/processing/Tue_Apr__2_21_26_37_2019/twin_1_100.bmp,8.55755547062028,0.01
1,/media/ucc/EE42E1D62A24B251/work_place/img_dwt/lib/../simulation/processing/Tue_Apr__2_21_26_37_2019/twin_2_100.bmp,9.509739141181017,0.02
2,/media/ucc/EE42E1D62A24B251/work_place/img_dwt/lib/../simulation/processing/Tue_Apr__2_21_26_37_2019/twin_3_100.bmp,10.55293720756544,0.03
3,/media/ucc/EE42E1D62A24B251/work_place/img_dwt/lib/../simulation/processing/Tue_Apr__2_21_26_37_2019/twin_4_100.bmp,11.777506471537475,0.04
4,/media/ucc/EE42E1D62A24B251/work_place/img_dwt/lib/../simulation/processing/Tue_Apr__2_21_26_37_2019/twin_5_100.bmp,12.417082232087918,0.05
5,/media/ucc/EE42E1D62A24B251/work_place/img_dwt/lib/../simulation/processing/Tue_Apr__2_21_26_37_2019/twin_6_100.bmp,12.417082232087918,0.06
6,/media/ucc/EE42E1D62A24B251/work_place/img_dwt/lib/../simulation/processing/Tue_Apr__2_21_26_37_2019/twin_7_100.bmp,12.417082232087918,0.07
7,/media/ucc/EE42E1D62A24B251/work_place/img_dwt/lib/../simulation/processing/Tue_Apr__2_21_26_37_2019/twin_8_100.bmp,12.417082232087918,0.08
8,/media/ucc/EE42E1D62A24B251/work_place/img_dwt/lib/../simulation/processing/Tue_Apr__2_21_26_37_2019/twin_9_100.bmp,12.417082232087918,0.09
9,/media/ucc/EE42E1D62A24B251/work_place/img_dwt/lib/../simulation/processing/Tue_Apr__2_21_26_37_2019/twin_10_100.bmp,12.417082232087918,0.1
10,/media/ucc/EE42E1D62A24B251/work_place/img_dwt/lib/../simulation/processing/Tue_Apr__2_21_26_37_2019/twin_11_100.bmp,12.417082232087918,0.11
11,/media/ucc/EE42E1D62A24B251/work_place/img_dwt/lib/../simulation/processing/Tue_Apr__2_21_26_37_2019/twin_12_100.bmp,12.914920367305802,0.12
12,/media/ucc/EE42E1D62A24B251/work_place/img_dwt/lib/../simulation/processing/Tue_Apr__2_21_26_37_2019/twin_13_100.bmp,13.73471478837951,0.13
