,file_list,psnr,size
0,../simulation/processing/Fri_Apr__5_12_02_21_2019/whale_1_100.bmp,-38.357856469533715,0.01
1,../simulation/processing/Fri_Apr__5_12_02_21_2019/whale_2_100.bmp,-37.40567279897297,0.02
2,../simulation/processing/Fri_Apr__5_12_02_21_2019/whale_3_100.bmp,-36.362474732588545,0.03
3,../simulation/processing/Fri_Apr__5_12_02_21_2019/whale_4_100.bmp,-35.137905468616516,0.04
4,../simulation/processing/Fri_Apr__5_12_02_21_2019/whale_5_100.bmp,-34.49832970806607,0.05
5,../simulation/processing/Fri_Apr__5_12_02_21_2019/whale_6_100.bmp,-34.49832970806607,0.06
6,../simulation/processing/Fri_Apr__5_12_02_21_2019/whale_7_100.bmp,-34.49832970806607,0.07
7,../simulation/processing/Fri_Apr__5_12_02_21_2019/whale_8_100.bmp,-34.49832970806607,0.08
8,../simulation/processing/Fri_Apr__5_12_02_21_2019/whale_9_100.bmp,-34.49832970806607,0.09
9,../simulation/processing/Fri_Apr__5_12_02_21_2019/whale_10_100.bmp,-34.49832970806607,0.1
10,../simulation/processing/Fri_Apr__5_12_02_21_2019/whale_11_100.bmp,-34.49832970806607,0.11
11,../simulation/processing/Fri_Apr__5_12_02_21_2019/whale_12_100.bmp,-34.00049157284819,0.12
12,../simulation/processing/Fri_Apr__5_12_02_21_2019/whale_13_100.bmp,-33.18069715177448,0.13
13, ,0.0,0.0
14,../simulation/processing/Fri_Apr__5_12_02_21_2019/whale_15_100.bmp,-29.86838951695123,0.15
15,../simulation/processing/Fri_Apr__5_12_02_21_2019/whale_16_100.bmp,-29.526279341150406,0.16
16,../simulation/processing/Fri_Apr__5_12_02_21_2019/whale_17_100.bmp,-29.526279341150406,0.17
17,../simulation/processing/Fri_Apr__5_12_02_21_2019/whale_18_100.bmp,-29.526279341150406,0.18
18,../simulation/processing/Fri_Apr__5_12_02_21_2019/whale_19_100.bmp,-29.526279341150406,0.19
19,../simulation/processing/Fri_Apr__5_12_02_21_2019/whale_20_100.bmp,-29.526279341150406,0.2
20,../simulation/processing/Fri_Apr__5_12_02_21_2019/whale_21_100.bmp,-29.526279341150406,0.21
21,../simulation/processing/Fri_Apr__5_12_02_21_2019/whale_22_100.bmp,-29.526279341150406,0.22
22,../simulation/processing/Fri_Apr__5_12_02_21_2019/whale_23_100.bmp,-28.80550672231947,0.23
