,w1,p1,w1_done,all_done
0,0.1,0.1,92.22,124.57
1,0.1,0.2,61.94,133.21
2,0.1,0.30000000000000004,43.47,154.46
3,0.1,0.4,35.86,181.06
4,0.1,0.5,26.1,212.51
5,0.1,0.6,22.44,269.49
6,0.1,0.7000000000000001,18.88,350.98
7,0.1,0.8,17.75,465.07
8,0.2,0.1,109.34,119.65
9,0.2,0.2,95.16,129.74
10,0.2,0.30000000000000004,78.99,149.19
11,0.2,0.4,61.41,172.86
12,0.2,0.5,54.67,201.48
13,0.2,0.6,43.53,251.47
14,0.2,0.7000000000000001,36.46,330.4
15,0.2,0.8,32.39,465.33
16,0.30000000000000004,0.1,116.6,120.62
17,0.30000000000000004,0.2,108.34,127.69
18,0.30000000000000004,0.30000000000000004,97.48,137.98
19,0.30000000000000004,0.4,84.33,165.53
20,0.30000000000000004,0.5,73.61,193.68
21,0.30000000000000004,0.6,62.47,245.43
22,0.30000000000000004,0.7000000000000001,54.61,314.9
23,0.30000000000000004,0.8,49.05,439.16
24,0.4,0.1,118.1,121.38
25,0.4,0.2,113.19,123.94
26,0.4,0.30000000000000004,109.6,132.79
27,0.4,0.4,100.17,158.11
28,0.4,0.5,89.04,186.35
29,0.4,0.6,82.16,230.13
30,0.4,0.7000000000000001,70.57,300.95
31,0.4,0.8,65.3,433.81
32,0.5,0.1,119.51,121.23
33,0.5,0.2,116.56,122.11
34,0.5,0.30000000000000004,113.53,131.71
35,0.5,0.4,108.01,143.02
36,0.5,0.5,101.17,173.29
37,0.5,0.6,93.76,220.26
38,0.5,0.7000000000000001,84.88,278.26
39,0.5,0.8,77.54,403.24
40,0.6,0.1,119.63,120.68
41,0.6,0.2,118.87,122.98
42,0.6,0.30000000000000004,115.1,128.35
43,0.6,0.4,113.6,139.52
44,0.6,0.5,106.93,166.97
45,0.6,0.6,102.64,203.59
46,0.6,0.7000000000000001,94.99,270.79
47,0.6,0.8,87.58,383.03
48,0.7000000000000001,0.1,119.7,121.04
49,0.7000000000000001,0.2,123.35,125.93
50,0.7000000000000001,0.30000000000000004,118.31,123.38
51,0.7000000000000001,0.4,115.72,127.5
52,0.7000000000000001,0.5,111.8,156.47
53,0.7000000000000001,0.6,111.05,177.62
54,0.7000000000000001,0.7000000000000001,105.86,243.8
55,0.7000000000000001,0.8,98.02,332.65
56,0.8,0.1,122.41,123.41
57,0.8,0.2,119.08,121.57
58,0.8,0.30000000000000004,118.35,121.14
59,0.8,0.4,116.4,123.03
60,0.8,0.5,117.23,135.24
61,0.8,0.6,115.63,162.02
62,0.8,0.7000000000000001,113.13,208.58
63,0.8,0.8,106.3,288.33
