,w1,p1,w1_done,all_done
0,0.1,0.1,92.96,123.016
1,0.1,0.2,61.162,136.691
2,0.1,0.30000000000000004,43.209,154.958
3,0.1,0.4,32.159,178.445
4,0.1,0.5,27.004,213.717
5,0.1,0.6,22.087,265.792
6,0.1,0.7000000000000001,18.728,351.872
7,0.1,0.8,16.419,470.991
8,0.2,0.1,111.756,121.502
9,0.2,0.2,95.042,130.994
10,0.2,0.30000000000000004,77.573,147.841
11,0.2,0.4,62.463,170.411
12,0.2,0.5,52.244,205.125
13,0.2,0.6,44.13,251.792
14,0.2,0.7000000000000001,38.162,335.164
15,0.2,0.8,33.86,464.542
16,0.30000000000000004,0.1,116.11,121.543
17,0.30000000000000004,0.2,108.819,126.499
18,0.30000000000000004,0.30000000000000004,97.32,143.404
19,0.30000000000000004,0.4,84.669,164.292
20,0.30000000000000004,0.5,72.265,195.709
21,0.30000000000000004,0.6,62.694,240.527
22,0.30000000000000004,0.7000000000000001,54.607,316.722
23,0.30000000000000004,0.8,48.781,454.405
24,0.4,0.1,117.613,120.727
25,0.4,0.2,113.986,124.169
26,0.4,0.30000000000000004,107.342,135.941
27,0.4,0.4,100.283,156.066
28,0.4,0.5,89.95,187.849
29,0.4,0.6,81.825,230.144
30,0.4,0.7000000000000001,72.617,299.705
31,0.4,0.8,66.279,431.861
32,0.5,0.1,119.461,121.666
33,0.5,0.2,117.72,122.069
34,0.5,0.30000000000000004,113.076,130.646
35,0.5,0.4,109.046,148.204
36,0.5,0.5,100.824,175.669
37,0.5,0.6,94.006,215.854
38,0.5,0.7000000000000001,86.039,280.834
39,0.5,0.8,78.466,404.222
40,0.6,0.1,119.297,120.787
41,0.6,0.2,119.008,122.069
42,0.6,0.30000000000000004,117.293,127.095
43,0.6,0.4,113.19,140.122
44,0.6,0.5,107.632,163.384
45,0.6,0.6,101.618,204.746
46,0.6,0.7000000000000001,95.375,260.942
47,0.6,0.8,87.957,375.813
48,0.7000000000000001,0.1,119.508,120.953
49,0.7000000000000001,0.2,119.737,121.807
50,0.7000000000000001,0.30000000000000004,118.053,122.657
51,0.7000000000000001,0.4,116.676,130.392
52,0.7000000000000001,0.5,114.244,149.988
53,0.7000000000000001,0.6,109.599,186.496
54,0.7000000000000001,0.7000000000000001,105.112,237.767
55,0.7000000000000001,0.8,97.469,341.101
56,0.8,0.1,120.154,121.302
57,0.8,0.2,120.668,122.072
58,0.8,0.30000000000000004,119.453,122.133
59,0.8,0.4,119.063,126.043
60,0.8,0.5,117.665,134.203
61,0.8,0.6,114.433,160.56
62,0.8,0.7000000000000001,112.515,207.525
63,0.8,0.8,107.405,294.172
