,file_list,psnr,size
0,./lib/../simulation/processing/Tue_Mar_19_21_12_49_2019/whale_1_100.bmp,-50.36055859462698,0.01
1,./lib/../simulation/processing/Tue_Mar_19_21_12_49_2019/whale_2_100.bmp,-49.457410333660135,0.02
2, ,0.0,0.0
3,./lib/../simulation/processing/Tue_Mar_19_21_12_49_2019/whale_4_100.bmp,-47.09072480162363,0.04
4,./lib/../simulation/processing/Tue_Mar_19_21_12_49_2019/whale_5_100.bmp,-46.703062020237276,0.05
5,./lib/../simulation/processing/Tue_Mar_19_21_12_49_2019/whale_6_100.bmp,-46.703062020237276,0.06
6,./lib/../simulation/processing/Tue_Mar_19_21_12_49_2019/whale_7_100.bmp,-46.703062020237276,0.07
7,./lib/../simulation/processing/Tue_Mar_19_21_12_49_2019/whale_8_100.bmp,-46.703062020237276,0.08
8,./lib/../simulation/processing/Tue_Mar_19_21_12_49_2019/whale_9_100.bmp,-46.703062020237276,0.09
9,./lib/../simulation/processing/Tue_Mar_19_21_12_49_2019/whale_10_100.bmp,-46.703062020237276,0.1
10,./lib/../simulation/processing/Tue_Mar_19_21_12_49_2019/whale_11_100.bmp,-46.70017339571902,0.11
11, ,0.0,0.0
12, ,0.0,0.0
13,./lib/../simulation/processing/Tue_Mar_19_21_12_49_2019/whale_14_100.bmp,-43.18304460202043,0.14
14,./lib/../simulation/processing/Tue_Mar_19_21_12_49_2019/whale_15_100.bmp,-41.43473812131959,0.15
15,./lib/../simulation/processing/Tue_Mar_19_21_12_49_2019/whale_16_100.bmp,-41.34043478922219,0.16
16,./lib/../simulation/processing/Tue_Mar_19_21_12_49_2019/whale_17_100.bmp,-41.34043478922219,0.17
17,./lib/../simulation/processing/Tue_Mar_19_21_12_49_2019/whale_18_100.bmp,-41.34043478922219,0.18
18,./lib/../simulation/processing/Tue_Mar_19_21_12_49_2019/whale_19_100.bmp,-41.34043478922219,0.19
19,./lib/../simulation/processing/Tue_Mar_19_21_12_49_2019/whale_20_100.bmp,-41.34043478922219,0.2
20,./lib/../simulation/processing/Tue_Mar_19_21_12_49_2019/whale_21_100.bmp,-41.34043478922219,0.21
21,./lib/../simulation/processing/Tue_Mar_19_21_12_49_2019/whale_22_100.bmp,-41.34043478922219,0.22
22,./lib/../simulation/processing/Tue_Mar_19_21_12_49_2019/whale_23_100.bmp,-40.06076506391048,0.23
23,./lib/../simulation/processing/Tue_Mar_19_21_12_49_2019/whale_24_100.bmp,-38.44663660996544,0.24
24,./lib/../simulation/processing/Tue_Mar_19_21_12_49_2019/whale_25_100.bmp,-37.27235277606024,0.25
25,./lib/../simulation/processing/Tue_Mar_19_21_12_49_2019/whale_26_100.bmp,-36.90163004659086,0.26
26,./lib/../simulation/processing/Tue_Mar_19_21_12_49_2019/whale_27_100.bmp,-36.887758412532165,0.27
27,./lib/../simulation/processing/Tue_Mar_19_21_12_49_2019/whale_28_100.bmp,-36.88565156492351,0.28
28,./lib/../simulation/processing/Tue_Mar_19_21_12_49_2019/whale_29_100.bmp,-36.88565156492351,0.29
29,./lib/../simulation/processing/Tue_Mar_19_21_12_49_2019/whale_30_100.bmp,-36.88565156492351,0.3
30,./lib/../simulation/processing/Tue_Mar_19_21_12_49_2019/whale_31_100.bmp,-36.88565156492351,0.31
31,./lib/../simulation/processing/Tue_Mar_19_21_12_49_2019/whale_32_100.bmp,-36.88565156492351,0.32
32,./lib/../simulation/processing/Tue_Mar_19_21_12_49_2019/whale_33_100.bmp,-36.7736306847972,0.33
33,./lib/../simulation/processing/Tue_Mar_19_21_12_49_2019/whale_34_100.bmp,-34.696292568170726,0.34
34,./lib/../simulation/processing/Tue_Mar_19_21_12_49_2019/whale_35_100.bmp,-33.34120863630993,0.35
35,./lib/../simulation/processing/Tue_Mar_19_21_12_49_2019/whale_36_100.bmp,-33.1449871969127,0.36
36,./lib/../simulation/processing/Tue_Mar_19_21_12_49_2019/whale_37_100.bmp,-33.03132935711106,0.37
37,./lib/../simulation/processing/Tue_Mar_19_21_12_49_2019/whale_38_100.bmp,-32.823966620425196,0.38
38,./lib/../simulation/processing/Tue_Mar_19_21_12_49_2019/whale_39_100.bmp,-32.67090382799439,0.39
39,./lib/../simulation/processing/Tue_Mar_19_21_12_49_2019/whale_40_100.bmp,-32.6620889526155,0.4
40,./lib/../simulation/processing/Tue_Mar_19_21_12_49_2019/whale_41_100.bmp,-32.65945705755479,0.41
41,./lib/../simulation/processing/Tue_Mar_19_21_12_49_2019/whale_42_100.bmp,-32.62921222094496,0.42
42,./lib/../simulation/processing/Tue_Mar_19_21_12_49_2019/whale_43_100.bmp,-32.61600451246058,0.43
43,./lib/../simulation/processing/Tue_Mar_19_21_12_49_2019/whale_44_100.bmp,-32.5052668626465,0.44
44,./lib/../simulation/processing/Tue_Mar_19_21_12_49_2019/whale_45_100.bmp,-31.25839686319715,0.45
45,./lib/../simulation/processing/Tue_Mar_19_21_12_49_2019/whale_46_100.bmp,-30.477519149281193,0.46
46, ,0.0,0.0
47,./lib/../simulation/processing/Tue_Mar_19_21_12_49_2019/whale_48_100.bmp,-30.18804674214179,0.48
48,./lib/../simulation/processing/Tue_Mar_19_21_12_49_2019/whale_49_100.bmp,-29.957306112110086,0.49
49,./lib/../simulation/processing/Tue_Mar_19_21_12_49_2019/whale_50_100.bmp,-29.763583998175275,0.5
50,./lib/../simulation/processing/Tue_Mar_19_21_12_49_2019/whale_51_100.bmp,-29.66314670586994,0.51
51,./lib/../simulation/processing/Tue_Mar_19_21_12_49_2019/whale_52_100.bmp,-29.641025646109366,0.52
52,./lib/../simulation/processing/Tue_Mar_19_21_12_49_2019/whale_53_100.bmp,-29.47469707976079,0.53
53,./lib/../simulation/processing/Tue_Mar_19_21_12_49_2019/whale_54_100.bmp,-29.126985545941615,0.54
54,./lib/../simulation/processing/Tue_Mar_19_21_12_49_2019/whale_55_100.bmp,-28.96713186011229,0.55
55,./lib/../simulation/processing/Tue_Mar_19_21_12_49_2019/whale_56_100.bmp,-28.638958870459245,0.56
56, ,0.0,0.0
57,./lib/../simulation/processing/Tue_Mar_19_21_12_49_2019/whale_58_100.bmp,-27.600457283505513,0.58
58,./lib/../simulation/processing/Tue_Mar_19_21_12_49_2019/whale_59_100.bmp,-27.503451645037394,0.59
59,./lib/../simulation/processing/Tue_Mar_19_21_12_49_2019/whale_60_100.bmp,-27.316900642472422,0.6
60,./lib/../simulation/processing/Tue_Mar_19_21_12_49_2019/whale_61_100.bmp,-27.121084395311,0.61
61,./lib/../simulation/processing/Tue_Mar_19_21_12_49_2019/whale_62_100.bmp,-26.974429608813615,0.62
62,./lib/../simulation/processing/Tue_Mar_19_21_12_49_2019/whale_63_100.bmp,-26.602788421350336,0.63
63,./lib/../simulation/processing/Tue_Mar_19_21_12_49_2019/whale_64_100.bmp,-26.494353298626258,0.64
64,./lib/../simulation/processing/Tue_Mar_19_21_12_49_2019/whale_65_100.bmp,-26.38415783007401,0.65
65,./lib/../simulation/processing/Tue_Mar_19_21_12_49_2019/whale_66_100.bmp,-26.179884332746518,0.66
66,./lib/../simulation/processing/Tue_Mar_19_21_12_49_2019/whale_67_100.bmp,-25.941547645780876,0.67
67,./lib/../simulation/processing/Tue_Mar_19_21_12_49_2019/whale_68_100.bmp,-25.74623592374796,0.68
68,./lib/../simulation/processing/Tue_Mar_19_21_12_49_2019/whale_69_100.bmp,-25.569359945438066,0.69
69,./lib/../simulation/processing/Tue_Mar_19_21_12_49_2019/whale_70_100.bmp,-25.138784295645053,0.7
70,./lib/../simulation/processing/Tue_Mar_19_21_12_49_2019/whale_71_100.bmp,-24.72047707143986,0.71
71, ,0.0,0.0
72,./lib/../simulation/processing/Tue_Mar_19_21_12_49_2019/whale_73_100.bmp,-24.338120084808015,0.73
73,./lib/../simulation/processing/Tue_Mar_19_21_12_49_2019/whale_74_100.bmp,-24.2409037230972,0.74
74, ,0.0,0.0
75,./lib/../simulation/processing/Tue_Mar_19_21_12_49_2019/whale_76_100.bmp,-23.969909448130295,0.76
76,./lib/../simulation/processing/Tue_Mar_19_21_12_49_2019/whale_77_100.bmp,-23.676305857005392,0.77
77,./lib/../simulation/processing/Tue_Mar_19_21_12_49_2019/whale_78_100.bmp,-23.415457084513168,0.78
78,./lib/../simulation/processing/Tue_Mar_19_21_12_49_2019/whale_79_100.bmp,-23.31128854913562,0.79
79,./lib/../simulation/processing/Tue_Mar_19_21_12_49_2019/whale_80_100.bmp,-23.232627450095862,0.8
80,./lib/../simulation/processing/Tue_Mar_19_21_12_49_2019/whale_81_100.bmp,-23.123021932814332,0.81
81,./lib/../simulation/processing/Tue_Mar_19_21_12_49_2019/whale_82_100.bmp,-22.98175396299677,0.82
82,./lib/../simulation/processing/Tue_Mar_19_21_12_49_2019/whale_83_100.bmp,-22.82427852207261,0.83
83,./lib/../simulation/processing/Tue_Mar_19_21_12_49_2019/whale_84_100.bmp,-22.716129999429295,0.84
84,./lib/../simulation/processing/Tue_Mar_19_21_12_49_2019/whale_85_100.bmp,-22.507574925202093,0.85
85, ,0.0,0.0
86,./lib/../simulation/processing/Tue_Mar_19_21_12_49_2019/whale_87_100.bmp,-21.967908152533774,0.87
87,./lib/../simulation/processing/Tue_Mar_19_21_12_49_2019/whale_88_100.bmp,-21.70002063837636,0.88
88,./lib/../simulation/processing/Tue_Mar_19_21_12_49_2019/whale_89_100.bmp,-21.4640144992606,0.89
89,./lib/../simulation/processing/Tue_Mar_19_21_12_49_2019/whale_90_100.bmp,-21.215245299785753,0.9
90, ,0.0,0.0
91,./lib/../simulation/processing/Tue_Mar_19_21_12_49_2019/whale_92_100.bmp,-20.933823102744114,0.92
92, ,0.0,0.0
93, ,0.0,0.0
94, ,0.0,0.0
95, ,0.0,0.0
96, ,0.0,0.0
97, ,0.0,0.0
98,./lib/../simulation/processing/Tue_Mar_19_21_12_49_2019/whale_99_100.bmp,-19.913291091202105,0.99
99,./lib/../simulation/processing/Tue_Mar_19_21_12_49_2019/whale_100_100.bmp,-19.809116237225876,1.0
